  0.010  0.89750802E-02 -0.18782285E-07 -0.21578170E-06  0.89753148E-02
  0.021  0.15048573E-01 -0.71278662E-05 -0.15755874E-03  0.15213259E-01
  0.031  0.18390576E-01 -0.12666289E-04 -0.32917771E-03  0.18732420E-01
  0.042  0.19151946E-01 -0.21964362E-04 -0.52054854E-03  0.19694459E-01
  0.052  0.18521438E-01 -0.38740605E-04 -0.73552873E-03  0.19295708E-01
  0.062  0.16565120E-01 -0.68308466E-04 -0.97865701E-03  0.17612085E-01
  0.073  0.13341086E-01 -0.11685944E-03 -0.12549128E-02  0.14712858E-01
  0.083  0.89004046E-02 -0.18904707E-03 -0.15697760E-02  0.10659228E-01
  0.094  0.41574114E-02 -0.28684973E-03 -0.19206194E-02  0.63648805E-02
  0.104 -0.89041009E-03 -0.41050060E-03 -0.23112250E-02  0.18313155E-02
  0.115 -0.62451001E-02 -0.55432269E-03 -0.27460736E-02 -0.29447039E-02
  0.125 -0.11907379E-01 -0.69450390E-03 -0.32305654E-02 -0.79823097E-02
  0.135 -0.17599512E-01 -0.85925573E-03 -0.37573631E-02 -0.12982893E-01
  0.146 -0.23336439E-01 -0.10491217E-02 -0.43256351E-02 -0.17961682E-01
  0.156 -0.29131492E-01 -0.12652808E-02 -0.49378496E-02 -0.22928362E-01
  0.167 -0.34996591E-01 -0.15089926E-02 -0.55965525E-02 -0.27891046E-01
  0.177 -0.40848322E-01 -0.17752102E-02 -0.62861945E-02 -0.32786917E-01
  0.188 -0.46699583E-01 -0.20644401E-02 -0.70084525E-02 -0.37626691E-01
  0.198 -0.52561892E-01 -0.23773844E-02 -0.77654484E-02 -0.42419059E-01
  0.208 -0.58445554E-01 -0.27148499E-02 -0.85593303E-02 -0.47171374E-01
  0.219 -0.64293809E-01 -0.30706861E-02 -0.93759212E-02 -0.51847202E-01
  0.229 -0.70117154E-01 -0.34458517E-02 -0.10219565E-01 -0.56451737E-01
  0.240 -0.75925182E-01 -0.38415853E-02 -0.11095286E-01 -0.60988311E-01
  0.250 -0.81726708E-01 -0.42592619E-02 -0.12008232E-01 -0.65459214E-01
  0.260 -0.87521166E-01 -0.46951911E-02 -0.12957370E-01 -0.69868605E-01
  0.271 -0.93316335E-01 -0.51520515E-02 -0.13953864E-01 -0.74210420E-01
  0.281 -0.99119874E-01 -0.56327711E-02 -0.15009864E-01 -0.78477238E-01
  0.292 -0.10493937E+00 -0.61403778E-02 -0.16137999E-01 -0.82660995E-01
  0.302 -0.11079498E+00 -0.66754352E-02 -0.17355720E-01 -0.86763824E-01
  0.312 -0.11669414E+00 -0.72421492E-02 -0.18683200E-01 -0.90768787E-01
  0.323 -0.12264477E+00 -0.78447778E-02 -0.20141877E-01 -0.94658114E-01
  0.333 -0.12865528E+00 -0.84875354E-02 -0.21754039E-01 -0.98413708E-01
  0.344 -0.13472400E+00 -0.91711817E-02 -0.23543758E-01 -0.10200906E+00
  0.354 -0.14086082E+00 -0.98997374E-02 -0.25538358E-01 -0.10542272E+00
  0.365 -0.14707620E+00 -0.10676915E-01 -0.27765864E-01 -0.10863342E+00
  0.375 -0.15338109E+00 -0.11506000E-01 -0.30254570E-01 -0.11162052E+00
  0.385 -0.15940786E+00 -0.12823977E-01 -0.32992495E-01 -0.11359139E+00
  0.396 -0.16519762E+00 -0.14509045E-01 -0.35975835E-01 -0.11471274E+00
  0.406 -0.17078528E+00 -0.16493384E-01 -0.39237819E-01 -0.11505408E+00
  0.417 -0.17620095E+00 -0.18727256E-01 -0.42805954E-01 -0.11466774E+00
  0.427 -0.18053924E+00 -0.21457274E-01 -0.46603398E-01 -0.11247857E+00
  0.438 -0.18386489E+00 -0.24433165E-01 -0.50625488E-01 -0.10880623E+00
  0.448 -0.18622881E+00 -0.27497268E-01 -0.54891733E-01 -0.10383981E+00
  0.458 -0.18767016E+00 -0.30513267E-01 -0.59410035E-01 -0.97746860E-01
  0.469 -0.18653985E+00 -0.33342967E-01 -0.64013592E-01 -0.89183288E-01
  0.479 -0.18292181E+00 -0.35696008E-01 -0.68684734E-01 -0.78541066E-01
  0.490 -0.17687699E+00 -0.37305202E-01 -0.73406941E-01 -0.66164846E-01
  0.500 -0.16844468E+00 -0.37894730E-01 -0.78152561E-01 -0.52397393E-01
  0.510 -0.15602248E+00 -0.37154750E-01 -0.82723542E-01 -0.36144183E-01
  0.521 -0.13967749E+00 -0.34697181E-01 -0.87083993E-01 -0.17896315E-01
  0.531 -0.11944655E+00 -0.30109069E-01 -0.91190710E-01  0.18532327E-02
  0.542 -0.95337997E-01 -0.22961725E-01 -0.94995600E-01  0.22619328E-01
  0.552 -0.66638968E-01 -0.13073201E-01 -0.98405015E-01  0.44839248E-01
  0.562 -0.33354486E-01  0.10205238E-04 -0.10139292E+00  0.68028223E-01
  0.573  0.45344693E-02  0.16711677E-01 -0.10393493E+00  0.91757722E-01
  0.583  0.47064733E-01  0.37392505E-01 -0.10601742E+00  0.11568965E+00
  0.594  0.93900221E-01  0.61846846E-01 -0.10771474E+00  0.13976812E+00
  0.604  0.14507962E+00  0.90214751E-01 -0.10906554E+00  0.16393041E+00
  0.615  0.20063822E+00  0.12255619E+00 -0.11010831E+00  0.18819034E+00
  0.625  0.26060646E+00  0.15889949E+00 -0.11088368E+00  0.21259066E+00
