  0.010 -0.18782285E-07  0.00000000E+00  0.19960985E+00
  0.021 -0.71278662E-05  0.00000000E+00  0.39893092E+00
  0.031 -0.12666289E-04  0.00000000E+00  0.59796362E+00
  0.042 -0.21964362E-04  0.00000000E+00  0.79670837E+00
  0.052 -0.38740605E-04  0.00000000E+00  0.99516560E+00
  0.062 -0.68308466E-04  0.00000000E+00  0.11933357E+01
  0.073 -0.11685944E-03  0.00000000E+00  0.13912192E+01
  0.083 -0.18904707E-03  0.00000000E+00  0.15888164E+01
  0.094 -0.28684973E-03  0.00000000E+00  0.17861279E+01
  0.104 -0.41050060E-03  0.00000000E+00  0.19831540E+01
  0.115 -0.55432269E-03  0.00000000E+00  0.21798953E+01
  0.125 -0.69450390E-03  0.00000000E+00  0.23763521E+01
  0.135 -0.85925573E-03  0.00000000E+00  0.25725249E+01
  0.146 -0.10491217E-02  0.00000000E+00  0.27684142E+01
  0.156 -0.12652808E-02  0.00000000E+00  0.29640203E+01
  0.167 -0.15089926E-02  0.00000000E+00  0.31593437E+01
  0.177 -0.17752102E-02  0.00000000E+00  0.33543849E+01
  0.188 -0.20644401E-02  0.00000000E+00  0.35491442E+01
  0.198 -0.23773844E-02  0.00000000E+00  0.37436223E+01
  0.208 -0.27148499E-02  0.00000000E+00  0.39378194E+01
  0.219 -0.30706861E-02  0.00000000E+00  0.41317360E+01
  0.229 -0.34458517E-02  0.00000000E+00  0.43253726E+01
  0.240 -0.38415853E-02  0.00000000E+00  0.45187296E+01
  0.250 -0.42592619E-02  0.00000000E+00  0.47118074E+01
  0.260 -0.46951911E-02  0.00000000E+00  0.49046065E+01
  0.271 -0.51520515E-02  0.00000000E+00  0.50971273E+01
  0.281 -0.56327711E-02  0.00000000E+00  0.52893702E+01
  0.292 -0.61403778E-02  0.00000000E+00  0.54813356E+01
  0.302 -0.66754352E-02  0.00000000E+00  0.56730241E+01
  0.312 -0.72421492E-02  0.00000000E+00  0.58644360E+01
  0.323 -0.78447778E-02  0.00000000E+00  0.60555718E+01
  0.333 -0.84875354E-02  0.00000000E+00  0.62464320E+01
  0.344 -0.91711817E-02  0.00000000E+00  0.64370169E+01
  0.354 -0.98997374E-02  0.00000000E+00  0.66273271E+01
  0.365 -0.10676915E-01  0.00000000E+00  0.68173630E+01
  0.375 -0.11506000E-01  0.00000000E+00  0.70071251E+01
  0.385 -0.12823977E-01  0.00000000E+00  0.71966139E+01
  0.396 -0.14509045E-01  0.00000000E+00  0.73858304E+01
  0.406 -0.16493384E-01  0.00000000E+00  0.75747756E+01
  0.417 -0.18727256E-01  0.00000000E+00  0.77634503E+01
  0.427 -0.21457274E-01  0.00000000E+00  0.79518553E+01
  0.438 -0.24433165E-01  0.00000000E+00  0.81399916E+01
  0.448 -0.27497268E-01  0.00000000E+00  0.83278601E+01
  0.458 -0.30513267E-01  0.00000000E+00  0.85154612E+01
  0.469 -0.33342967E-01  0.34655175E-01  0.87027952E+01
  0.479 -0.35696008E-01  0.10396553E+00  0.88899124E+01
  0.490 -0.37305202E-01  0.20793105E+00  0.90768626E+01
  0.500 -0.37894730E-01  0.34655175E+00  0.92636951E+01
  0.510 -0.37154750E-01  0.48517245E+00  0.94504587E+01
  0.521 -0.34697181E-01  0.62379315E+00  0.96371515E+01
  0.531 -0.30109069E-01  0.76241385E+00  0.98237712E+01
  0.542 -0.22961725E-01  0.90103455E+00  0.10010315E+02
  0.552 -0.13073201E-01  0.10396553E+01  0.10196779E+02
  0.562  0.10205238E-04  0.11782760E+01  0.10383159E+02
  0.573  0.16711677E-01  0.13168967E+01  0.10569452E+02
  0.583  0.37392505E-01  0.14555174E+01  0.10755651E+02
  0.594  0.61846846E-01  0.15941380E+01  0.10941752E+02
  0.604  0.90214751E-01  0.17327587E+01  0.11127748E+02
  0.615  0.12255619E+00  0.18713794E+01  0.11313635E+02
  0.625  0.15889949E+00  0.20100001E+01  0.11499407E+02
  0.635  0.19941835E+00  0.21486208E+01  0.11685058E+02
  0.646  0.24396417E+00  0.22872416E+01  0.11870582E+02
  0.656  0.29255836E+00  0.24258623E+01  0.12055974E+02
  0.667  0.34525625E+00  0.25644830E+01  0.12241228E+02
  0.677  0.40364638E+00  0.27031037E+01  0.12426338E+02
  0.688  0.46881132E+00  0.28417244E+01  0.12611297E+02
  0.698  0.54124207E+00  0.29803451E+01  0.12796094E+02
  0.708  0.62120417E+00  0.31189658E+01  0.12980719E+02
  0.719  0.70990497E+00  0.32229313E+01  0.13165163E+02
  0.729  0.80769245E+00  0.32922416E+01  0.13349361E+02
  0.740  0.91476542E+00  0.33268968E+01  0.13533252E+02
  0.750  0.10312408E+01  0.33268968E+01  0.13716772E+02
  0.760  0.11555368E+01  0.33268968E+01  0.13899858E+02
  0.771  0.12857358E+01  0.33268968E+01  0.14082500E+02
  0.781  0.14209957E+01  0.33268968E+01  0.14264688E+02
  0.792  0.15609176E+01  0.33268968E+01  0.14446418E+02
  0.802  0.17027826E+01  0.33268968E+01  0.14627682E+02
  0.812  0.18440506E+01  0.33268968E+01  0.14808479E+02
  0.823  0.19836215E+01  0.33268968E+01  0.14988809E+02
  0.833  0.21209741E+01  0.33268968E+01  0.15168677E+02
  0.844  0.22548254E+01  0.33268968E+01  0.15348086E+02
  0.854  0.23836724E+01  0.33268968E+01  0.15527042E+02
  0.865  0.25068531E+01  0.33268968E+01  0.15705552E+02
  0.875  0.26240364E+01  0.33268968E+01  0.15883626E+02
  0.885  0.27349905E+01  0.33268968E+01  0.16061272E+02
  0.896  0.28389458E+01  0.33268968E+01  0.16238502E+02
  0.906  0.29355235E+01  0.33268968E+01  0.16415324E+02
  0.917  0.30244746E+01  0.33268968E+01  0.16591751E+02
  0.927  0.31060518E+01  0.33268968E+01  0.16767793E+02
  0.938  0.31798129E+01  0.33268968E+01  0.16943464E+02
  0.948  0.32453165E+01  0.33268968E+01  0.17118773E+02
  0.958  0.33017257E+01  0.33268968E+01  0.17293734E+02
  0.969  0.33450020E+01  0.33268968E+01  0.17468360E+02
  0.979  0.33778892E+01  0.33268968E+01  0.17642671E+02
  0.990  0.34041453E+01  0.33268968E+01  0.17816682E+02
  1.000  0.34231959E+01  0.33268968E+01  0.17990403E+02
  1.010  0.34380668E+01  0.33268968E+01  0.18163845E+02
  1.021  0.34497854E+01  0.33268968E+01  0.18337015E+02
  1.031  0.34588652E+01  0.33268968E+01  0.18509918E+02
  1.042  0.34656247E+01  0.33268968E+01  0.18682557E+02
  1.052  0.34709401E+01  0.33268968E+01  0.18854937E+02
  1.062  0.34752388E+01  0.33268968E+01  0.19027059E+02
  1.073  0.34786044E+01  0.33268968E+01  0.19198927E+02
  1.083  0.34808276E+01  0.33268968E+01  0.19370541E+02
  1.094  0.34826374E+01  0.33268968E+01  0.19541903E+02
  1.104  0.34841163E+01  0.33268968E+01  0.19713015E+02
  1.115  0.34852625E+01  0.33268968E+01  0.19883877E+02
  1.125  0.34860507E+01  0.33268968E+01  0.20054490E+02
  1.135  0.34867881E+01  0.33268968E+01  0.20224855E+02
