  0.010  0.90740004E-02 -0.20514327E-07 -0.21732803E-06  0.90742383E-02
  0.021  0.15305684E-01 -0.18032006E-06 -0.15771643E-03  0.15463580E-01
  0.031  0.18829156E-01 -0.30547562E-06 -0.32962637E-03  0.19159088E-01
  0.042  0.19764919E-01 -0.43578356E-06 -0.52042695E-03  0.20285781E-01
  0.052  0.19287817E-01 -0.58860883E-06 -0.73487921E-03  0.20023284E-01
  0.062  0.17452492E-01 -0.77022197E-06 -0.97800707E-03  0.18431269E-01
  0.073  0.14307810E-01 -0.97905037E-06 -0.12554705E-02  0.15564260E-01
  0.083  0.98974259E-02 -0.12053263E-05 -0.15735401E-02  0.11472171E-01
  0.094  0.51390941E-02 -0.14684288E-05 -0.19303751E-02  0.70709377E-02
  0.104  0.33355958E-04 -0.17643407E-05 -0.23301059E-02  0.23652262E-02
  0.115 -0.54193810E-02 -0.20888229E-05 -0.27772349E-02 -0.26400573E-02
  0.125 -0.11218840E-01 -0.24374200E-05 -0.32765146E-02 -0.79398880E-02
  0.135 -0.17081881E-01 -0.28210465E-05 -0.38179953E-02 -0.13261065E-01
  0.146 -0.23018895E-01 -0.32380244E-05 -0.44039713E-02 -0.18611685E-01
  0.156 -0.29039208E-01 -0.36868499E-05 -0.50369906E-02 -0.23998531E-01
  0.167 -0.35151205E-01 -0.41661732E-05 -0.57196400E-02 -0.29427399E-01
  0.177 -0.41267823E-01 -0.46708521E-05 -0.64357982E-02 -0.34827353E-01
  0.188 -0.47398794E-01 -0.51993387E-05 -0.71872016E-02 -0.40206393E-01
  0.198 -0.53552866E-01 -0.57502468E-05 -0.79759397E-02 -0.45571176E-01
  0.208 -0.59737913E-01 -0.63223313E-05 -0.88041287E-02 -0.50927462E-01
  0.219 -0.65894832E-01 -0.69103940E-05 -0.96569027E-02 -0.56231019E-01
  0.229 -0.72032044E-01 -0.75131202E-05 -0.10538744E-01 -0.61485787E-01
  0.240 -0.78157265E-01 -0.81293088E-05 -0.11454694E-01 -0.66694442E-01
  0.250 -0.84277592E-01 -0.87578562E-05 -0.12409912E-01 -0.71858923E-01
  0.260 -0.90391102E-01 -0.93941600E-05 -0.13402995E-01 -0.76978713E-01
  0.271 -0.96504182E-01 -0.10037236E-04 -0.14445297E-01 -0.82048848E-01
  0.281 -0.10262305E+00 -0.10686126E-04 -0.15549088E-01 -0.87063271E-01
  0.292 -0.10875377E+00 -0.11339889E-04 -0.16727077E-01 -0.92015356E-01
  0.302 -0.11491515E+00 -0.11996125E-04 -0.17996624E-01 -0.96906528E-01
  0.312 -0.12111304E+00 -0.12653927E-04 -0.19378064E-01 -0.10172232E+00
  0.323 -0.12735358E+00 -0.13312343E-04 -0.20892877E-01 -0.10644739E+00
  0.333 -0.13364319E+00 -0.13970376E-04 -0.22563321E-01 -0.11106590E+00
  0.344 -0.13997809E+00 -0.14627933E-04 -0.24413048E-01 -0.11555042E+00
  0.354 -0.14636590E+00 -0.15283841E-04 -0.26469711E-01 -0.11988090E+00
  0.365 -0.15281460E+00 -0.15936866E-04 -0.28761282E-01 -0.12403738E+00
  0.375 -0.15933259E+00 -0.16585719E-04 -0.31316032E-01 -0.12799997E+00
  0.385 -0.16552380E+00 -0.17292006E-04 -0.34131438E-01 -0.13137507E+00
  0.396 -0.17141181E+00 -0.18048786E-04 -0.37234994E-01 -0.13415876E+00
  0.406 -0.17701893E+00 -0.18848495E-04 -0.40651973E-01 -0.13634810E+00
  0.417 -0.18236628E+00 -0.19683038E-04 -0.44406347E-01 -0.13794025E+00
  0.427 -0.18651892E+00 -0.20661641E-04 -0.48428095E-01 -0.13807017E+00
  0.438 -0.18952939E+00 -0.21744348E-04 -0.52732699E-01 -0.13677494E+00
  0.448 -0.19144554E+00 -0.22889922E-04 -0.57328888E-01 -0.13409376E+00
  0.458 -0.19231095E+00 -0.24056673E-04 -0.62221133E-01 -0.13006576E+00
  0.469 -0.19047128E+00 -0.25299896E-04 -0.67236544E-01 -0.12320943E+00
  0.479 -0.18602668E+00 -0.13901504E-03 -0.72359653E-01 -0.11352801E+00
  0.490 -0.17906427E+00 -0.30110596E-03 -0.77559794E-01 -0.10120337E+00
  0.500 -0.16966040E+00 -0.47100237E-03 -0.82803954E-01 -0.86385444E-01
  0.510 -0.15624332E+00 -0.58371811E-03 -0.87866577E-01 -0.67793025E-01
  0.521 -0.13892602E+00 -0.55798570E-03 -0.92700494E-01 -0.45667543E-01
  0.531 -0.11780566E+00 -0.31392161E-03 -0.97233605E-01 -0.20258133E-01
  0.542 -0.92963637E-01  0.23633175E-03 -0.10136741E+00  0.81674378E-02
  0.552 -0.63749953E-01  0.11736088E-02 -0.10492775E+00  0.40004191E-01
  0.562 -0.30243075E-01  0.26132742E-02 -0.10778577E+00  0.74929425E-01
  0.573  0.74986628E-02  0.46959678E-02 -0.10975083E+00  0.11255352E+00
  0.583  0.49440785E-01  0.75949925E-02 -0.11054135E+00  0.15238714E+00
  0.594  0.95211293E-01  0.11463685E-01 -0.10990799E+00  0.19365560E+00
  0.604  0.14484150E+00  0.16524053E-01 -0.10737782E+00  0.23569527E+00
  0.615  0.19837765E+00  0.22833574E-01 -0.10259039E+00  0.27813446E+00
  0.625  0.25584633E+00  0.30268655E-01 -0.95744963E-01  0.32132264E+00
  0.635  0.31847154E+00  0.38891347E-01 -0.86833074E-01  0.36641327E+00
  0.646  0.38623136E+00  0.48777157E-01 -0.75781925E-01  0.41323613E+00
  0.656  0.45911008E+00  0.59997917E-01 -0.62547128E-01  0.46165929E+00
  0.667  0.53709644E+00  0.72621132E-01 -0.47107293E-01  0.51158260E+00
  0.677  0.62548732E+00  0.86975688E-01 -0.28648890E-01  0.56716052E+00
  0.688  0.72412763E+00  0.10333872E+00 -0.65607689E-02  0.62734968E+00
  0.698  0.83290664E+00  0.12195163E+00  0.19606048E-01  0.69134896E+00
  0.708  0.95174645E+00  0.14302521E+00  0.50168268E-01  0.75855297E+00
  0.719  0.10828851E+01  0.16694146E+00  0.86046224E-01  0.82989746E+00
  0.729  0.12262325E+01  0.19382129E+00  0.12762978E+00  0.90478138E+00
  0.740  0.13817210E+01  0.22372246E+00  0.17521239E+00  0.98278615E+00
  0.750  0.15492976E+01  0.25663592E+00  0.22901292E+00  0.10636488E+01
  0.760  0.17211281E+01  0.29209042E+00  0.28883703E+00  0.11402006E+01
  0.771  0.18974283E+01  0.32966586E+00  0.35360229E+00  0.12141601E+01
  0.781  0.20783412E+01  0.36905938E+00  0.42257562E+00  0.12867062E+01
  0.792  0.22639594E+01  0.41004700E+00  0.49525635E+00  0.13586560E+01
  0.802  0.24438775E+01  0.45185083E+00  0.57062789E+00  0.14213987E+01
  0.812  0.26184568E+01  0.49375549E+00  0.64686323E+00  0.14778381E+01
  0.823  0.27879374E+01  0.53529449E+00  0.72277383E+00  0.15298691E+01
  0.833  0.29524793E+01  0.57616566E+00  0.79758244E+00  0.15787312E+01
  0.844  0.31067794E+01  0.61590233E+00  0.87079444E+00  0.16200826E+01
  0.854  0.32510950E+01  0.65409988E+00  0.94119375E+00  0.16558014E+01
  0.865  0.33856040E+01  0.69052760E+00  0.10080006E+01  0.16870758E+01
  0.875  0.35104329E+01  0.72506421E+00  0.10707098E+01  0.17146589E+01
  0.885  0.36237138E+01  0.75759554E+00  0.11294129E+01  0.17367054E+01
  0.896  0.37256005E+01  0.78800415E+00  0.11835006E+01  0.17540958E+01
  0.906  0.38162079E+01  0.81625128E+00  0.12325855E+01  0.17673711E+01
  0.917  0.38956257E+01  0.84234539E+00  0.12764242E+01  0.17768562E+01
  0.927  0.39639793E+01  0.86635287E+00  0.13154438E+01  0.17821827E+01
  0.938  0.40213504E+01  0.88830133E+00  0.13494453E+01  0.17836038E+01
  0.948  0.40678083E+01  0.90823730E+00  0.13783208E+01  0.17812502E+01
  0.958  0.41034145E+01  0.92621513E+00  0.14020332E+01  0.17751662E+01
  0.969  0.41309330E+01  0.94241694E+00  0.14213455E+01  0.17671706E+01
  0.979  0.41503506E+01  0.95695426E+00  0.14364842E+01  0.17569121E+01
  0.990  0.41616689E+01  0.96990935E+00  0.14476442E+01  0.17441154E+01
  1.000  0.41649010E+01  0.98133784E+00  0.14550195E+01  0.17285436E+01
  1.010  0.41642931E+01  0.99146339E+00  0.14595270E+01  0.17133028E+01
  1.021  0.41597512E+01  0.10004103E+01  0.14616248E+01  0.16977161E+01
  1.031  0.41512128E+01  0.10082485E+01  0.14616877E+01  0.16812767E+01
  1.042  0.41386408E+01  0.10149805E+01  0.14600913E+01  0.16635690E+01
  1.052  0.41252665E+01  0.10204412E+01  0.14578878E+01  0.16469376E+01
  1.062  0.41109883E+01  0.10242123E+01  0.14560711E+01  0.16307049E+01
  1.073  0.40957396E+01  0.10271043E+01  0.14543479E+01  0.16142875E+01
  1.083  0.40794728E+01  0.10293925E+01  0.14526784E+01  0.15974018E+01
  1.094  0.40634215E+01  0.10313210E+01  0.14510462E+01  0.15810544E+01
  1.104  0.40475095E+01  0.10330103E+01  0.14494144E+01  0.15650848E+01
  1.115  0.40316713E+01  0.10345287E+01  0.14477648E+01  0.15493777E+01
  1.125  0.40158506E+01  0.10359206E+01  0.14460845E+01  0.15338454E+01
  1.135  0.40002473E+01  0.10372224E+01  0.14443687E+01  0.15186562E+01
  1.146  0.39848092E+01  0.10384598E+01  0.14426070E+01  0.15037424E+01
  1.156  0.39694905E+01  0.10396498E+01  0.14407950E+01  0.14890457E+01
  1.167  0.39542511E+01  0.10408052E+01  0.14389298E+01  0.14745160E+01
  1.177  0.39391590E+01  0.10419231E+01  0.14370231E+01  0.14602129E+01
  1.188  0.39241792E+01  0.10430140E+01  0.14350724E+01  0.14460928E+01
  1.198  0.39092811E+01  0.10440852E+01  0.14330807E+01  0.14321153E+01
  1.208  0.38944380E+01  0.10451422E+01  0.14310529E+01  0.14182429E+01
  1.219  0.38797195E+01  0.10461687E+01  0.14290103E+01  0.14045406E+01
  1.229  0.38651016E+01  0.10471715E+01  0.14269557E+01  0.13909744E+01
  1.240  0.38505632E+01  0.10481551E+01  0.14248978E+01  0.13775103E+01
  1.250  0.38360865E+01  0.10491223E+01  0.14228495E+01  0.13641147E+01
  1.260  0.38216951E+01  0.10500519E+01  0.14208185E+01  0.13508247E+01
  1.271  0.38073733E+01  0.10509486E+01  0.14188100E+01  0.13376148E+01
  1.281  0.37931075E+01  0.10518146E+01  0.14168362E+01  0.13244567E+01
  1.292  0.37788865E+01  0.10526507E+01  0.14149149E+01  0.13113209E+01
  1.302  0.37647182E+01  0.10534389E+01  0.14130099E+01  0.12982693E+01
  1.312  0.37505912E+01  0.10541822E+01  0.14111274E+01  0.12852816E+01
  1.323  0.37364961E+01  0.10548821E+01  0.14092778E+01  0.12723362E+01
