  0.010  0.29532444E+03  0.29497957E+03  0.21454130E+00  0.21409907E+00
  0.021  0.29546210E+03  0.29498454E+03  0.21454169E+00  0.21409904E+00
  0.031  0.29553643E+03  0.29499023E+03  0.21454206E+00  0.21409902E+00
  0.042  0.29555083E+03  0.29499601E+03  0.21454252E+00  0.21409909E+00
  0.052  0.29553290E+03  0.29500154E+03  0.21454301E+00  0.21409903E+00
  0.062  0.29548442E+03  0.29500652E+03  0.21454366E+00  0.21409907E+00
  0.073  0.29540709E+03  0.29501065E+03  0.21454441E+00  0.21409916E+00
  0.083  0.29530248E+03  0.29501366E+03  0.21454549E+00  0.21409915E+00
  0.094  0.29519205E+03  0.29501550E+03  0.21454681E+00  0.21409913E+00
  0.104  0.29507613E+03  0.29501612E+03  0.21454834E+00  0.21409911E+00
  0.115  0.29495507E+03  0.29501550E+03  0.21455017E+00  0.21409909E+00
  0.125  0.29482916E+03  0.29501357E+03  0.21455228E+00  0.21409906E+00
  0.135  0.29470498E+03  0.29501039E+03  0.21455464E+00  0.21409906E+00
  0.146  0.29458247E+03  0.29500598E+03  0.21455736E+00  0.21409912E+00
  0.156  0.29446158E+03  0.29500037E+03  0.21456027E+00  0.21409920E+00
  0.167  0.29434228E+03  0.29499358E+03  0.21456344E+00  0.21409927E+00
  0.177  0.29422625E+03  0.29498567E+03  0.21456696E+00  0.21409927E+00
  0.188  0.29411333E+03  0.29497668E+03  0.21457076E+00  0.21409919E+00
  0.198  0.29400343E+03  0.29496665E+03  0.21457496E+00  0.21409923E+00
  0.208  0.29389640E+03  0.29495561E+03  0.21457952E+00  0.21409923E+00
  0.219  0.29379325E+03  0.29494363E+03  0.21458424E+00  0.21409927E+00
  0.229  0.29369387E+03  0.29493075E+03  0.21458904E+00  0.21409929E+00
  0.240  0.29359818E+03  0.29491701E+03  0.21459432E+00  0.21409923E+00
  0.250  0.29350610E+03  0.29490246E+03  0.21460004E+00  0.21409905E+00
  0.260  0.29340039E+03  0.29486580E+03  0.21463193E+00  0.21419239E+00
  0.271  0.29331623E+03  0.29484983E+03  0.21463871E+00  0.21419229E+00
  0.281  0.29323578E+03  0.29483319E+03  0.21464600E+00  0.21419222E+00
  0.292  0.29315913E+03  0.29481593E+03  0.21465371E+00  0.21419206E+00
  0.302  0.29308620E+03  0.29479810E+03  0.21466169E+00  0.21419201E+00
  0.312  0.29301726E+03  0.29477974E+03  0.21467018E+00  0.21419210E+00
  0.323  0.29295264E+03  0.29476090E+03  0.21467937E+00  0.21419228E+00
  0.333  0.29289263E+03  0.29474164E+03  0.21468932E+00  0.21419255E+00
  0.344  0.29283779E+03  0.29472201E+03  0.21469998E+00  0.21419285E+00
  0.354  0.29278852E+03  0.29470208E+03  0.21471155E+00  0.21419303E+00
  0.365  0.29274523E+03  0.29468191E+03  0.21472390E+00  0.21419324E+00
  0.375  0.29270832E+03  0.29466156E+03  0.21473699E+00  0.21419333E+00
  0.385  0.29268753E+03  0.29464121E+03  0.21475070E+00  0.21419360E+00
  0.396  0.29268259E+03  0.29462102E+03  0.21476494E+00  0.21419388E+00
  0.406  0.29269329E+03  0.29460114E+03  0.21477984E+00  0.21419423E+00
  0.417  0.29271941E+03  0.29458174E+03  0.21479511E+00  0.21419456E+00
  0.427  0.29278166E+03  0.29456319E+03  0.21481052E+00  0.21419501E+00
  0.438  0.29287803E+03  0.29454581E+03  0.21482605E+00  0.21419564E+00
  0.448  0.29300667E+03  0.29452995E+03  0.21484135E+00  0.21419630E+00
  0.458  0.29316576E+03  0.29451588E+03  0.21485621E+00  0.21419702E+00
  0.469  0.29338875E+03  0.29450426E+03  0.21740723E+00  0.21421524E+00
  0.479  0.29367195E+03  0.29449568E+03  0.22164739E+00  0.21425076E+00
  0.490  0.29401187E+03  0.29449069E+03  0.22620932E+00  0.21430347E+00
  0.500  0.29440298E+03  0.29448979E+03  0.23143649E+00  0.21437357E+00
  0.510  0.29488447E+03  0.29452745E+03  0.23618468E+00  0.21482897E+00
  0.521  0.29542176E+03  0.29453667E+03  0.24031732E+00  0.21489859E+00
  0.531  0.29601888E+03  0.29455195E+03  0.24406275E+00  0.21496781E+00
  0.542  0.29666582E+03  0.29457375E+03  0.24748378E+00  0.21503656E+00
  0.552  0.29736697E+03  0.29460254E+03  0.25062719E+00  0.21510461E+00
  0.562  0.29810904E+03  0.29463869E+03  0.25352695E+00  0.21517153E+00
  0.573  0.29887491E+03  0.29468236E+03  0.25620785E+00  0.21523731E+00
  0.583  0.29964088E+03  0.29473348E+03  0.25868680E+00  0.21530142E+00
  0.594  0.30037229E+03  0.29479161E+03  0.26097742E+00  0.21536352E+00
  0.604  0.30106626E+03  0.29485630E+03  0.26310395E+00  0.21542372E+00
  0.615  0.30173244E+03  0.29492719E+03  0.26508644E+00  0.21548234E+00
