  0.010  0.24938780E+02 -0.17896574E-03 -0.15578090E-04  0.24938975E+02
  0.021  0.16892407E+02 -0.14373405E+00 -0.66881544E-02  0.17042830E+02
  0.031  0.93180888E+01 -0.15797291E+00 -0.54929699E-02  0.94815547E+01
  0.042  0.21634248E+01 -0.17766500E+00 -0.93490963E-02  0.23504389E+01
  0.052 -0.16869513E+01 -0.20134176E+00 -0.16921962E-01 -0.14686876E+01
  0.062 -0.53518558E+01 -0.22983120E+00 -0.30007974E-01 -0.50920166E+01
  0.073 -0.88526714E+01 -0.26368728E+00 -0.50071008E-01 -0.85389131E+01
  0.083 -0.12208470E+02 -0.30350943E+00 -0.77749577E-01 -0.11827211E+02
  0.094 -0.13020966E+02 -0.34076385E+00 -0.10854971E+00 -0.12571653E+02
  0.104 -0.13837947E+02 -0.38243340E+00 -0.14353383E+00 -0.13311980E+02
  0.115 -0.14658844E+02 -0.42913132E+00 -0.17934794E+00 -0.14050365E+02
  0.125 -0.15482333E+02 -0.48174822E+00 -0.19929420E+00 -0.14801291E+02
  0.135 -0.15532135E+02 -0.52646875E+00 -0.23836906E+00 -0.14767297E+02
  0.146 -0.15621891E+02 -0.57184752E+00 -0.27961914E+00 -0.14770424E+02
  0.156 -0.15747099E+02 -0.62065562E+00 -0.32404441E+00 -0.14802399E+02
  0.167 -0.15903819E+02 -0.67310660E+00 -0.37183886E+00 -0.14858873E+02
  0.177 -0.15828926E+02 -0.70836899E+00 -0.41092471E+00 -0.14709632E+02
  0.188 -0.15789910E+02 -0.74616221E+00 -0.45179130E+00 -0.14591957E+02
  0.198 -0.15782775E+02 -0.78706860E+00 -0.49482055E+00 -0.14500886E+02
  0.208 -0.15804013E+02 -0.83123985E+00 -0.54021134E+00 -0.14432562E+02
  0.219 -0.15668767E+02 -0.85897873E+00 -0.57434503E+00 -0.14235443E+02
  0.229 -0.15563428E+02 -0.89245333E+00 -0.61114333E+00 -0.14059832E+02
  0.240 -0.15485009E+02 -0.93268190E+00 -0.65121572E+00 -0.13901111E+02
  0.250 -0.15430910E+02 -0.98006061E+00 -0.69484719E+00 -0.13756002E+02
  0.260 -0.15375377E+02 -0.10263910E+01 -0.73234510E+00 -0.13616641E+02
  0.271 -0.15340668E+02 -0.10876170E+01 -0.77620591E+00 -0.13476845E+02
  0.281 -0.15325584E+02 -0.11656664E+01 -0.82697720E+00 -0.13332940E+02
  0.292 -0.15329156E+02 -0.12620170E+01 -0.88482760E+00 -0.13182312E+02
  0.302 -0.15385292E+02 -0.13819356E+01 -0.94493870E+00 -0.13058418E+02
  0.312 -0.15457575E+02 -0.15320819E+01 -0.10144847E+01 -0.12911009E+02
