  0.010  0.93570366E-02  0.94165349E-02  0.95051867E+00  0.91428674E+00  0.12201053E-01  0.65161393E-01
  0.021  0.93167768E-02  0.94166316E-02  0.90248914E+00  0.90635034E+00  0.90590809E-01  0.49786799E-01
  0.031  0.92769521E-02  0.94167881E-02  0.85701831E+00  0.89856564E+00  0.92325869E-01  0.39986015E-01
  0.042  0.92373890E-02  0.94169261E-02  0.81407990E+00  0.89091885E+00  0.93522658E-01  0.43741933E-01
  0.052  0.91981883E-02  0.94171027E-02  0.77349816E+00  0.88339775E+00  0.94842770E-01  0.47097187E-01
  0.062  0.91594671E-02  0.94173218E-02  0.73517446E+00  0.87599157E+00  0.94127937E-01  0.50809236E-01
  0.073  0.91212497E-02  0.94175619E-02  0.69902436E+00  0.86869088E+00  0.90291479E-01  0.54594721E-01
  0.083  0.90836701E-02  0.94176898E-02  0.66499481E+00  0.86148747E+00  0.78482704E-01  0.58209415E-01
  0.094  0.90465858E-02  0.94179400E-02  0.63285463E+00  0.85437405E+00  0.78585433E-01  0.59337341E-01
  0.104  0.90101890E-02  0.94181696E-02  0.60252012E+00  0.84734428E+00  0.77413601E-01  0.61409220E-01
  0.115  0.89744211E-02  0.94184666E-02  0.57390490E+00  0.84039262E+00  0.73459753E-01  0.63252415E-01
  0.125  0.89393444E-02  0.94186230E-02  0.54692943E+00  0.83351429E+00  0.66185082E-01  0.64781394E-01
  0.135  0.89048212E-02  0.94186581E-02  0.52141745E+00  0.82670501E+00  0.74165698E-01  0.64435028E-01
  0.146  0.88710828E-02  0.94187383E-02  0.49729546E+00  0.81996108E+00  0.83517102E-01  0.64909337E-01
  0.156  0.88379486E-02  0.94188718E-02  0.47448701E+00  0.81327926E+00  0.94340431E-01  0.65296495E-01
  0.167  0.88055733E-02  0.94189084E-02  0.45291984E+00  0.80665676E+00  0.10661954E+00  0.65586621E-01
  0.177  0.87740698E-02  0.94189700E-02  0.43251908E+00  0.80009108E+00  0.11714585E+00  0.64629115E-01
  0.188  0.87432194E-02  0.94188663E-02  0.41322101E+00  0.79358007E+00  0.12852779E+00  0.63674027E-01
  0.198  0.87130867E-02  0.94187039E-02  0.39496692E+00  0.78712186E+00  0.14077539E+00  0.62786273E-01
  0.208  0.86837442E-02  0.94183580E-02  0.37770059E+00  0.78071486E+00  0.15393103E+00  0.61943828E-01
  0.219  0.86550373E-02  0.94180454E-02  0.36136608E+00  0.77435760E+00  0.16423815E+00  0.60407523E-01
  0.229  0.86270294E-02  0.94177257E-02  0.34591318E+00  0.76804884E+00  0.17544498E+00  0.59033324E-01
  0.240  0.85996197E-02  0.94174111E-02  0.33129501E+00  0.76178753E+00  0.18769443E+00  0.57878589E-01
  0.250  0.85730166E-02  0.94170230E-02  0.31746729E+00  0.75557276E+00  0.20106858E+00  0.56905325E-01
  0.260  0.86699368E-02  0.95970892E-02  0.30813816E+00  0.75189457E+00  0.21427494E+00  0.56135243E-01
  0.271  0.86440952E-02  0.95966998E-02  0.29555802E+00  0.74571292E+00  0.22814061E+00  0.55617803E-01
  0.281  0.86191866E-02  0.95964844E-02  0.28365996E+00  0.73957855E+00  0.24420627E+00  0.55033890E-01
  0.292  0.85951409E-02  0.95963617E-02  0.27240789E+00  0.73349086E+00  0.26244647E+00  0.54604744E-01
  0.302  0.85719346E-02  0.95962101E-02  0.26176889E+00  0.72744934E+00  0.28175539E+00  0.54300747E-01
  0.312  0.85496506E-02  0.95959815E-02  0.25170881E+00  0.72145354E+00  0.30419320E+00  0.54057880E-01
  0.323  0.85282970E-02  0.95956220E-02  0.24219565E+00  0.71550309E+00  0.32973947E+00  0.53796494E-01
  0.333  0.85079848E-02  0.95953399E-02  0.23319923E+00  0.70959763E+00  0.35824439E+00  0.53407127E-01
  0.344  0.84887580E-02  0.95948905E-02  0.22469288E+00  0.70373683E+00  0.38747668E+00  0.52791391E-01
  0.354  0.84706714E-02  0.95943639E-02  0.21665059E+00  0.69792036E+00  0.41930478E+00  0.52167014E-01
  0.365  0.84538286E-02  0.95938536E-02  0.20904780E+00  0.69214783E+00  0.45323417E+00  0.51459024E-01
  0.375  0.84381150E-02  0.95933283E-02  0.20186162E+00  0.68641883E+00  0.48869566E+00  0.50865225E-01
  0.385  0.84232688E-02  0.95928324E-02  0.19489210E+00  0.68073222E+00  0.57707865E+00  0.50787086E-01
  0.396  0.84095723E-02  0.95923816E-02  0.18819614E+00  0.67508692E+00  0.67996556E+00  0.57199785E-01
  0.406  0.83967996E-02  0.95918643E-02  0.18182599E+00  0.66948179E+00  0.78554519E+00  0.66188499E-01
  0.417  0.83849620E-02  0.95913230E-02  0.17584260E+00  0.66391567E+00  0.88758475E+00  0.77269515E-01
  0.427  0.83736173E-02  0.95910008E-02  0.17025812E+00  0.65838649E+00  0.11598581E+01  0.91281193E-01
  0.438  0.83626601E-02  0.95908494E-02  0.16541239E+00  0.65289243E+00  0.13781962E+01  0.12035445E+00
  0.448  0.83519279E-02  0.95908275E-02  0.16155966E+00  0.64743173E+00  0.15394585E+01  0.14812714E+00
  0.458  0.83412626E-02  0.95907707E-02  0.15883482E+00  0.64200260E+00  0.16437378E+01  0.17553691E+00
  0.469  0.72846311E-02  0.95908527E-02  0.15763509E+00  0.63660285E+00  0.18104345E+01  0.19904355E+00
  0.479  0.57082794E-02  0.95909926E-02  0.15782315E+00  0.63122939E+00  0.18538847E+01  0.23434071E+00
  0.490  0.48909061E-02  0.95910276E-02  0.15827623E+00  0.62587830E+00  0.16608386E+01  0.26536412E+00
  0.500  0.43519647E-02  0.95910055E-02  0.15799574E+00  0.62054382E+00  0.13260989E+01  0.29058411E+00
  0.510  0.39717102E-02  0.96754004E-02  0.15620328E+00  0.62054595E+00  0.91115716E+00  0.30353698E+00
  0.521  0.36274173E-02  0.96751081E-02  0.15225864E+00  0.61516788E+00  0.35936671E+00  0.32502871E+00
  0.531  0.33426093E-02  0.96747506E-02  0.14448832E+00  0.60979439E+00  0.70721860E+00  0.35256030E+00
  0.542  0.31025834E-02  0.96739182E-02  0.13173345E+00  0.60441947E+00  0.17677536E+01  0.39247111E+00
  0.552  0.28974678E-02  0.96727495E-02  0.11421994E+00  0.59903673E+00  0.30647180E+01  0.42938582E+00
  0.562  0.27199155E-02  0.96710440E-02  0.94052191E-01  0.59363709E+00  0.46264105E+01  0.51528203E+00
  0.573  0.25649568E-02  0.96686655E-02  0.80408466E-01  0.58820756E+00  0.64321618E+01  0.72472382E+00
  0.583  0.24290115E-02  0.96656436E-02  0.90668061E-01  0.58272923E+00  0.84138902E+01  0.12453031E+01
  0.594  0.23098024E-02  0.96619210E-02  0.12500001E+00  0.57718449E+00  0.10338773E+02  0.23946318E+01
  0.604  0.22052951E-02  0.96575491E-02  0.17254055E+00  0.57162062E+00  0.12157886E+02  0.35160833E+01
  0.615  0.21130104E-02  0.96525652E-02  0.22330699E+00  0.56605998E+00  0.13805414E+02  0.48059410E+01
  0.625  0.20317122E-02  0.96472132E-02  0.27456457E+00  0.56052324E+00  0.15397738E+02  0.61382067E+01
  0.635  0.19603268E-02  0.96410786E-02  0.32604083E+00  0.55502960E+00  0.17090758E+02  0.74773879E+01
  0.646  0.18980984E-02  0.96343047E-02  0.37754976E+00  0.54959752E+00  0.18811712E+02  0.88401978E+01
  0.656  0.18442961E-02  0.96270496E-02  0.42897366E+00  0.54424498E+00  0.20546503E+02  0.10219812E+02
