  0.010 -0.20514327E-07  0.00000000E+00  0.00000000E+00
  0.021 -0.18032006E-06  0.00000000E+00  0.00000000E+00
  0.031 -0.30547562E-06  0.00000000E+00  0.00000000E+00
  0.042 -0.43578356E-06  0.00000000E+00  0.00000000E+00
  0.052 -0.58860883E-06  0.00000000E+00  0.00000000E+00
  0.062 -0.77022197E-06  0.00000000E+00  0.00000000E+00
  0.073 -0.97905037E-06  0.00000000E+00  0.00000000E+00
  0.083 -0.12053263E-05  0.00000000E+00  0.00000000E+00
  0.094 -0.14684288E-05  0.00000000E+00  0.00000000E+00
  0.104 -0.17643407E-05  0.00000000E+00  0.00000000E+00
  0.115 -0.20888229E-05  0.00000000E+00  0.00000000E+00
  0.125 -0.24374200E-05  0.00000000E+00  0.00000000E+00
  0.135 -0.28210465E-05  0.00000000E+00  0.00000000E+00
  0.146 -0.32380244E-05  0.00000000E+00  0.00000000E+00
  0.156 -0.36868499E-05  0.00000000E+00  0.00000000E+00
  0.167 -0.41661732E-05  0.00000000E+00  0.00000000E+00
  0.177 -0.46708521E-05  0.00000000E+00  0.00000000E+00
  0.188 -0.51993387E-05  0.00000000E+00  0.00000000E+00
  0.198 -0.57502468E-05  0.00000000E+00  0.00000000E+00
  0.208 -0.63223313E-05  0.00000000E+00  0.00000000E+00
  0.219 -0.69103940E-05  0.00000000E+00  0.00000000E+00
  0.229 -0.75131202E-05  0.00000000E+00  0.00000000E+00
  0.240 -0.81293088E-05  0.00000000E+00  0.00000000E+00
  0.250 -0.87578562E-05  0.00000000E+00  0.00000000E+00
  0.260 -0.93941600E-05  0.00000000E+00  0.00000000E+00
  0.271 -0.10037236E-04  0.00000000E+00  0.00000000E+00
  0.281 -0.10686126E-04  0.00000000E+00  0.00000000E+00
  0.292 -0.11339889E-04  0.00000000E+00  0.00000000E+00
  0.302 -0.11996125E-04  0.00000000E+00  0.00000000E+00
  0.312 -0.12653927E-04  0.00000000E+00  0.00000000E+00
  0.323 -0.13312343E-04  0.00000000E+00  0.00000000E+00
  0.333 -0.13970376E-04  0.00000000E+00  0.00000000E+00
  0.344 -0.14627933E-04  0.00000000E+00  0.00000000E+00
  0.354 -0.15283841E-04  0.00000000E+00  0.00000000E+00
  0.365 -0.15936866E-04  0.00000000E+00  0.00000000E+00
  0.375 -0.16585719E-04  0.00000000E+00  0.00000000E+00
  0.385 -0.17292006E-04  0.00000000E+00  0.00000000E+00
  0.396 -0.18048786E-04  0.00000000E+00  0.00000000E+00
  0.406 -0.18848495E-04  0.00000000E+00  0.00000000E+00
  0.417 -0.19683038E-04  0.00000000E+00  0.00000000E+00
  0.427 -0.20661641E-04  0.00000000E+00  0.00000000E+00
  0.438 -0.21744348E-04  0.00000000E+00  0.00000000E+00
  0.448 -0.22889922E-04  0.00000000E+00  0.00000000E+00
  0.458 -0.24056673E-04  0.00000000E+00  0.00000000E+00
  0.469 -0.25299896E-04  0.17327588E-01  0.00000000E+00
  0.479 -0.13901504E-03  0.51982763E-01  0.00000000E+00
  0.490 -0.30110596E-03  0.10396553E+00  0.00000000E+00
  0.500 -0.47100237E-03  0.17327588E+00  0.00000000E+00
  0.510 -0.58371811E-03  0.24258623E+00  0.00000000E+00
  0.521 -0.55798570E-03  0.31189658E+00  0.00000000E+00
  0.531 -0.31392161E-03  0.38120693E+00  0.00000000E+00
  0.542  0.23633175E-03  0.45051728E+00  0.00000000E+00
  0.552  0.11736088E-02  0.51982763E+00  0.00000000E+00
  0.562  0.26132742E-02  0.58913798E+00  0.00000000E+00
  0.573  0.46959678E-02  0.65844833E+00  0.00000000E+00
  0.583  0.75949925E-02  0.72775868E+00  0.00000000E+00
  0.594  0.11463685E-01  0.79706902E+00  0.00000000E+00
  0.604  0.16524053E-01  0.86637937E+00  0.00000000E+00
  0.615  0.22833574E-01  0.93568972E+00  0.00000000E+00
  0.625  0.30268655E-01  0.10050001E+01  0.00000000E+00
  0.635  0.38891347E-01  0.10743104E+01  0.00000000E+00
  0.646  0.48777157E-01  0.11436208E+01  0.00000000E+00
  0.656  0.59997917E-01  0.12129311E+01  0.00000000E+00
  0.667  0.72621132E-01  0.12822415E+01  0.00000000E+00
  0.677  0.86975688E-01  0.13515518E+01  0.00000000E+00
  0.688  0.10333872E+00  0.14208622E+01  0.00000000E+00
  0.698  0.12195163E+00  0.14901725E+01  0.00000000E+00
  0.708  0.14302521E+00  0.15594829E+01  0.00000000E+00
  0.719  0.16694146E+00  0.16114656E+01  0.00000000E+00
  0.729  0.19382129E+00  0.16461208E+01  0.00000000E+00
