  0.010  0.29519950E+03  0.29500206E+03  0.21331894E+00  0.21331974E+00
  0.021  0.29532558E+03  0.29500539E+03  0.21331814E+00  0.21331974E+00
  0.031  0.29538578E+03  0.29500931E+03  0.21331735E+00  0.21331974E+00
  0.042  0.29538694E+03  0.29501321E+03  0.21331656E+00  0.21331974E+00
  0.052  0.29535821E+03  0.29501676E+03  0.21331578E+00  0.21331974E+00
  0.062  0.29530270E+03  0.29501971E+03  0.21331501E+00  0.21331974E+00
  0.073  0.29522319E+03  0.29502181E+03  0.21331425E+00  0.21331974E+00
  0.083  0.29512219E+03  0.29502284E+03  0.21331350E+00  0.21331974E+00
  0.094  0.29502077E+03  0.29502282E+03  0.21331276E+00  0.21331974E+00
  0.104  0.29491899E+03  0.29502175E+03  0.21331203E+00  0.21331974E+00
  0.115  0.29481693E+03  0.29501964E+03  0.21331131E+00  0.21331974E+00
  0.125  0.29471463E+03  0.29501650E+03  0.21331061E+00  0.21331974E+00
  0.135  0.29461796E+03  0.29501239E+03  0.21330991E+00  0.21331974E+00
  0.146  0.29452635E+03  0.29500738E+03  0.21330922E+00  0.21331974E+00
  0.156  0.29443927E+03  0.29500152E+03  0.21330854E+00  0.21331974E+00
  0.167  0.29435628E+03  0.29499487E+03  0.21330787E+00  0.21331974E+00
  0.177  0.29427861E+03  0.29498748E+03  0.21330721E+00  0.21331974E+00
  0.188  0.29420571E+03  0.29497942E+03  0.21330655E+00  0.21331974E+00
  0.198  0.29413710E+03  0.29497074E+03  0.21330590E+00  0.21331974E+00
  0.208  0.29407236E+03  0.29496148E+03  0.21330526E+00  0.21331974E+00
  0.219  0.29401216E+03  0.29495169E+03  0.21330463E+00  0.21331975E+00
  0.229  0.29395613E+03  0.29494143E+03  0.21330400E+00  0.21331975E+00
  0.240  0.29390390E+03  0.29493073E+03  0.21330337E+00  0.21331975E+00
  0.250  0.29385518E+03  0.29491964E+03  0.21330275E+00  0.21331975E+00
  0.260  0.29366283E+03  0.29489065E+03  0.21330214E+00  0.21331975E+00
  0.271  0.29363408E+03  0.29487770E+03  0.21330154E+00  0.21331975E+00
  0.281  0.29360700E+03  0.29486460E+03  0.21330094E+00  0.21331975E+00
  0.292  0.29358166E+03  0.29485137E+03  0.21330034E+00  0.21331975E+00
  0.302  0.29355799E+03  0.29483804E+03  0.21329975E+00  0.21331975E+00
  0.312  0.29353621E+03  0.29482462E+03  0.21329915E+00  0.21331975E+00
  0.323  0.29351659E+03  0.29481113E+03  0.21329856E+00  0.21331975E+00
  0.333  0.29349936E+03  0.29479761E+03  0.21329798E+00  0.21331975E+00
  0.344  0.29348501E+03  0.29478408E+03  0.21329739E+00  0.21331975E+00
  0.354  0.29347382E+03  0.29477057E+03  0.21329681E+00  0.21331975E+00
  0.365  0.29346605E+03  0.29475712E+03  0.21329623E+00  0.21331975E+00
  0.375  0.29346195E+03  0.29474377E+03  0.21329565E+00  0.21331976E+00
  0.385  0.29346985E+03  0.29473063E+03  0.21329507E+00  0.21331976E+00
  0.396  0.29348912E+03  0.29471784E+03  0.21329449E+00  0.21331976E+00
  0.406  0.29351918E+03  0.29470548E+03  0.21329392E+00  0.21331976E+00
  0.417  0.29355945E+03  0.29469366E+03  0.21329334E+00  0.21331976E+00
  0.427  0.29362808E+03  0.29468268E+03  0.21329276E+00  0.21331976E+00
  0.438  0.29372259E+03  0.29467278E+03  0.21329219E+00  0.21331976E+00
  0.448  0.29384063E+03  0.29466420E+03  0.21329160E+00  0.21331976E+00
  0.458  0.29397998E+03  0.29465715E+03  0.21329102E+00  0.21331976E+00
  0.469  0.29417151E+03  0.29465214E+03  0.21655347E+00  0.21333709E+00
  0.479  0.29441214E+03  0.29464967E+03  0.21979737E+00  0.21337186E+00
  0.490  0.29469507E+03  0.29465013E+03  0.22430395E+00  0.21342401E+00
  0.500  0.29501468E+03  0.29465389E+03  0.22971306E+00  0.21349350E+00
  0.510  0.29572925E+03  0.29470217E+03  0.23446999E+00  0.21356281E+00
